Metric,Value
RMSE_Training,0.8465114019608968
MAE_Training,0.5644948002613331
R_squared_Training,0.8174564659399411
RMSE_2025,0.4542141778425064
MAE_2025,0.34075226708501055
R_squared_2025,0.7575283384867237
N_Training,114
N_2025,104
